,SalePrice
1299,154000
1067,167900
926,285000
170,128500
678,372500
39,82000
651,108000
1127,259000
318,260000
204,110000
1333,125500
845,171000
895,140000
1228,367294
702,361919
261,276000
661,402000
132,150750
1089,197000
965,178900
1103,159500
520,106250
1048,115000
487,175000
835,128000
576,145000
882,178000
526,132000
264,73000
390,119000
451,280000
1187,262000
798,485000
198,104000
483,164000
857,174000
1084,187500
986,117000
493,155000
276,201000
870,109500
934,242000
1130,135000
83,126500
753,275500
688,392000
1225,145000
456,98000
709,109900
940,150900
1328,256000
236,185500
863,132500
358,130000
162,220000
930,201000
444,210000
961,272000
52,110000
633,139400
815,224900
716,159500
974,167500
1217,229456
888,268000
919,176500
1435,174000
348,154000
1405,275000
297,239000
485,147000
562,108000
1355,170000
606,152000
1091,160000
482,155000
104,169500
280,228500
823,139500
864,250580
1045,139600
176,211000
220,204900
913,145000
1285,132500
1236,175500
1069,135000
1034,119750
802,189000
25,256300
1188,195000
369,162000
4,250000
1136,119000
164,152000
1117,130000
499,120000
551,112500
923,193000
1044,278000
98,83000
990,348000
875,303477
949,197500
1244,230000
62,202500
1436,120500
173,163000
1305,325000
363,118000
842,174900
113,217000
901,153000
904,125500
1124,163900
471,190000
209,145000
1264,181000
124,181000
466,167000
1191,174000
799,175000
547,129500
461,155000
138,230000
1423,274970
855,127000
391,215000
1026,167500
27,306000
692,335000
907,250000
1348,215000
477,380000
584,133000
865,148500
521,150000
1253,294000
100,205000
360,156000
1178,154900
603,151000
47,249700
1196,219210
1290,180500
73,144900
1451,287090
830,166000
457,256000
608,359100
365,147000
33,165500
40,160000
628,135000
935,79900
274,124500
1232,101800
1307,138000
373,123000
233,128200
1284,169000
1088,137500
693,108480
1378,83000
557,108000
438,90350
1453,84500
362,198500
1216,112000
1028,105000
386,81000
1024,287000
978,110000
469,187000
992,187000
1359,315000
768,216837
663,137500
427,109008
414,228000
1039,80000
88,85000
308,82500
395,129000
512,129900
393,100000
400,245500
1041,173000
116,139000
1282,150500
987,395192
536,188000
701,140000
1396,160000
1195,176000
429,175000
668,168000
14,157000
1053,144500
948,192500
843,141000
1459,147500
1177,115000
1107,274725
1431,143750
862,152000
498,130000
1199,148000
1442,310000
519,234000
1161,224000
589,79500
1112,129900
159,320000
283,244600
588,143000
1411,140000
1279,68400
442,162900
1135,102000
698,138500
1101,119500
43,130250
1302,290000
1205,271900
1374,250000
146,105000
1239,265900
1243,465000
1050,176485
883,118500
163,103200
179,100000
1146,180000
69,225000
847,133500
723,135000
564,268000
784,128000
334,192000
1160,146000
232,94500
401,164990
1321,72500
303,149900
852,164000
127,87000
641,226000
229,192500
632,82500
993,173900
550,140000
294,167000
417,239000
1383,112000
1110,188000
1214,134500
355,177500
6,307000
1370,105000
126,128000
587,137000
653,135000
418,126000
46,239686
436,116000
1427,140000
929,222000
682,173000
490,115000
627,153000
340,202900
689,194700
1419,223000
834,139950
1018,160000
740,132000
671,103600
255,230000
435,212000
178,501837
548,125000
1179,93000
704,213000
1250,244000
572,224500
1267,378500
135,174000
805,227680
256,207500
812,55993
1075,219500
1256,301500
1281,180000
1242,170000
944,137500
1115,318000
527,446261
1072,91500
65,317000
687,148800
654,350000
299,158500
248,180000
54,130000
246,137000
1004,181000
910,154300
1213,145000
1390,235000
1100,60000
1019,213490
1180,250000
310,165600
637,93000
524,315750
1059,220000
1438,149700
997,185000
908,131000
446,190000
881,187500
1056,185850
933,190000
136,143000
504,147000
87,164500
1288,278000
1051,200141
1343,177000
1320,156500
349,437154
242,79000
388,191000
1005,149900
546,210000
873,133000
322,301000
1271,185750
1000,82000
1183,120000
801,109900
583,325000
525,176000
932,320000
886,145000
141,260000
225,112000
1111,205000
1147,174500
745,299800
872,116000
880,157000
59,124900
145,130000
1055,180000
684,221000
1345,108500
250,76500
1108,181000
121,100000
1439,197000
871,200500
558,175000
110,136900
727,194500
111,180000
99,128950
1125,115000
774,395000
609,118500
836,153500
263,130000
914,173733
758,179400
1149,143000
187,135000
448,119500
1057,248000
275,205000
354,140000
227,106000
1452,145000
837,100000
282,207500
1085,147000
1137,94000
171,215000
982,159895
1409,215000
1229,127000
1297,140000
578,146000
288,122000
1309,179200
517,265000
909,174000
957,132000
254,145000
531,128000
419,142000
226,290000
387,125000
545,229000
1123,118000
1283,139000
144,125000
343,266000
741,142000
459,110000
327,145250
724,320000
167,325624
924,207500
779,135000
728,110000
620,67000
959,155000
1257,99900
1286,143000
319,187500
1456,210000
1189,189000
1021,194000
622,135000
820,183000
1173,200500
1421,127500
1365,216000
623,168500
1074,194000
874,66500
108,115000
1165,233170
182,120000
683,285000
1260,181000
1065,328000
30,40000
906,255000
154,125000
315,188500
292,131000
1323,82500
1289,281000
1395,281213
1126,174000
785,161500
433,181000
240,262500
1287,190000
9,118000
301,267000
1198,178000
1269,144000
715,165000
1142,424870
1197,144000
1259,151000
1298,160000
793,225000
859,250000
1167,173000
1318,275000
1097,170000
1330,227000
1204,153500
522,159000
1368,144000
494,91300
593,140000
317,270000
655,88000
939,244400
602,220000
747,265979
325,87000
158,254900
60,158000
1095,176432
20,325300
406,115000
592,138000
542,213250
0,208500
346,151500
659,167000
1016,203000
903,240000
607,225000
892,154500
706,302000
205,180500
509,124500
1061,81000
1418,124000
643,152000
1156,179900
515,402861
195,148500
642,345000
1237,195000
756,212000
1371,165500
915,75000
1238,142500
624,165150
1358,177500
381,187750
50,177000
309,360000
72,185000
338,202500
832,237000
1407,112000
549,263000
1211,164000
604,221000
12,144000
1412,90000
188,153337
840,140000
279,192000
1169,625000
581,253293
1443,121000
1434,160000
361,145000
306,225000
1375,239000
84,168500
150,122000
1030,160000
1092,136500
656,145500
647,155000
266,185000
786,139000
149,115000
38,109000
199,274900
468,250000
858,152000
1090,92900
673,257500
48,113000
925,175000
1020,176000
851,215000
474,251000
773,114500
811,144500
1037,287000
956,124000
408,280000
231,403000
510,164900
760,127500
1450,136000
15,132000
1119,133700
511,202665
103,198900
10,129500
552,255500
1357,149900
411,145000
1168,235000
131,244000
265,175500
636,60000
936,184900
192,192000
516,158000
1352,134900
1109,280000
600,275000
917,135000
374,219500
412,222000
697,123500
943,143000
998,91000
243,120000
470,212000
1275,137000
665,230500
614,75500
1322,190000
500,113000
271,241500
611,148000
1224,184000
660,197900
440,555000
1171,163000
1397,137500
868,169000
51,114500
1122,112000
856,147000
777,142500
1140,139000
425,135000
1116,184100
1353,410000
826,109500
1083,160000
1079,126000
1386,250000
638,85000
575,118500
1073,159500
972,99500
1027,293077
332,284000
119,163990
803,582933
808,159950
532,107500
206,143900
270,266000
1401,193000
744,180000
1131,93500
382,213500
675,148500
861,131500
1278,237000
389,426000
1440,191000
1025,112500
379,179000
828,185000
746,236000
902,180000
1163,108959
559,234000
1258,190000
380,127000
194,127000
314,178000
208,277000
221,200000
398,67000
291,135900
829,147400
1081,133000
879,136500
639,264561
1362,104900
156,109500
1052,165000
118,320000
596,114504
556,141000
244,205000
567,214000
1373,466500
152,190000
625,160000
726,222000
235,89500
370,172400
63,140000
302,205000
667,193500
1241,248328
1234,130000
1062,90000
1013,85000
1340,123000
1414,207000
931,117500
428,195400
82,245000
869,236000
1058,335000
1293,162900
90,109900
707,254000
1208,140000
776,221500
166,190000
1226,214000
1170,171000
1430,192140
825,385000
396,123000
749,98000
729,103000
1422,136500
610,313000
196,311872
307,89500
492,172785
323,126175
1270,260000
172,239000
810,181000
117,155000
277,141000
1143,80000
818,155000
720,275000
1006,163500
394,109000
650,205950
1444,179600
148,141000
1201,197900
133,220000
555,113000
686,227875
312,119900
595,319000
800,200000
28,207500
1144,80000
766,196500
1408,125500
657,149000
754,156000
585,369900
403,258000
366,159000
1121,212900
216,210000
1036,315500
973,182000
540,315000
454,188000
918,238000
644,370878
423,315000
407,177000
1263,180500
234,216500
791,146800
1379,167500
711,102776
203,149000
1150,124000
1391,124000
1331,132500
1356,110000
833,167000
844,153900
1449,92000
81,153500
351,190000
49,127000
175,243000
1154,201800
463,188700
1009,102000
1145,149000
339,155000
530,175000
68,80000
106,100000
134,180000
273,139000
573,170000
441,118000
1185,104900
739,190000
1341,155000
920,201000
970,135000
725,120500
284,179200
1387,136000
649,84500
19,139000
97,94750
568,316600
1306,202500
475,132500
814,116000
1003,136905
193,130000
34,277500
305,305900
1350,200000
1381,237500
966,160000
705,55000
1399,137450
1060,213500
854,170000
1157,230000
1240,224900
357,134000
737,239900
1206,107000
1141,197500
1247,169900
212,252678
827,189000
964,214900
968,37900
37,153000
157,269500
582,118500
1231,132500
896,106500
921,145900
762,215200
1448,112000
330,119000
64,219500
867,129000
1372,274300
1227,147000
505,124500
74,107400
252,173000
253,158000
443,172500
950,129000
41,170000
249,277000
817,271000
912,88000
1425,142000
616,183200
1393,163000
809,106000
1294,115000
1223,137900
878,148000
1001,86000
405,150000
866,248900
619,305000
988,195000
1105,325000
1406,133000
356,173000
1354,235000
712,189000
7,200000
789,187500
518,211000
122,136000
168,183500
486,156000
1369,232000
137,171000
1106,179900
1212,113000
1326,79000
615,137500
102,118964
775,162000
783,165500
223,97000
679,128500
1382,157000
320,342643
1077,138800
743,175000
1445,129000
245,241500
1315,206900
128,155000
281,185000
685,207500
1420,179900
985,125000
142,166000
772,107000
1087,252000
378,394432
764,270000
